"DTI_CL_UNIDAD_MEDIDA","Unidad de medida","DTI_CL_MES","Mes","Value","Flag Codes","Flags"
"IX","Índice","2020-M04","2020 Abril",118.53,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M04","2020 Abril",2.7,,
"IX","Índice","2020-M05","2020 Mayo",118.35,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M05","2020 Mayo",2.6,,
"IX","Índice","2020-M06","2020 Junio",118.4,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M06","2020 Junio",2.8,,
"IX","Índice","2020-M07","2020 Julio",119.28,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M07","2020 Julio",2.8,,
"IX","Índice","2020-M08","2020 Agosto",119.54,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M08","2020 Agosto",2.8,,
"IX","Índice","2020-M09","2020 Septiembre",120.73,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M09","2020 Septiembre",3.7,,
"IX","Índice","2020-M10","2020 Octubre",121.15,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M10","2020 Octubre",4,,
"IX","Índice","2020-M11","2020 Noviembre",122.14,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M11","2020 Noviembre",4.6,,
"IX","Índice","2020-M12","2020 Diciembre",122.59,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M12","2020 Diciembre",4,,
"IX","Índice","2021-M01","2021 Enero",124.01,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M01","2021 Enero",4.3,,
"IX","Índice","2021-M02","2021 Febrero",123.71,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M02","2021 Febrero",4.2,,
"IX","Índice","2021-M03","2021 Marzo",125.31,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M03","2021 Marzo",4.4,,
"IX","Índice","2021-M04","2021 Abril",125.42,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M04","2021 Abril",5.8,,
"IX","Índice","2021-M05","2021 Mayo",124.95,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M05","2021 Mayo",5.6,,
"IX","Índice","2021-M06","2021 Junio",125.45,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M06","2021 Junio",6,,
"IX","Índice","2021-M07","2021 Julio",127.11,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M07","2021 Julio",6.6,,
"IX","Índice","2021-M08","2021 Agosto",127.19,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M08","2021 Agosto",6.4,,
"IX","Índice","2021-M09","2021 Septiembre",127.65,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M09","2021 Septiembre",5.7,,
"IX","Índice","2021-M10","2021 Octubre",128.37,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M10","2021 Octubre",6,,
"IX","Índice","2021-M11","2021 Noviembre",129.31,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M11","2021 Noviembre",5.9,,
"IX","Índice","2021-M12","2021 Diciembre",130.97,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M12","2021 Diciembre",6.8,,
"IX","Índice","2022-M01","2022 Enero",133.37,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M01","2022 Enero",7.6,,
"IX","Índice","2022-M02","2022 Febrero",133.16,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M02","2022 Febrero",7.6,,
"IX","Índice","2022-M03","2022 Marzo",134.73,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M03","2022 Marzo",7.5,,
"IX","Índice","2022-M04","2022 Abril",135.58,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M04","2022 Abril",8.1,,
"IX","Índice","2022-M05","2022 Mayo",137.04,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M05","2022 Mayo",9.7,,
"IX","Índice","2022-M06","2022 Junio",138.07,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M06","2022 Junio",10.1,,
"IX","Índice","2022-M07","2022 Julio",139.7,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M07","2022 Julio",9.9,,
"IX","Índice","2022-M08","2022 Agosto",141.28,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M08","2022 Agosto",11.1,,
"IX","Índice","2022-M09","2022 Septiembre",141.8,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M09","2022 Septiembre",11.1,,
"IX","Índice","2022-M10","2022 Octubre",142.42,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M10","2022 Octubre",10.9,,
"IX","Índice","2022-M11","2022 Noviembre",143.22,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M11","2022 Noviembre",10.8,,
"IX","Índice","2022-M12","2022 Diciembre",145.19,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M12","2022 Diciembre",10.8,,
"IX","Índice","2023-M01","2023 Enero",148.3,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M01","2023 Enero",11.2,,
"IX","Índice","2023-M02","2023 Febrero",148.04,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M02","2023 Febrero",11.2,,
"IX","Índice","2023-M03","2023 Marzo",149.8,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M03","2023 Marzo",11.2,,
"IX","Índice","2023-M04","2023 Abril",150.25,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M04","2023 Abril",10.8,,
"IX","Índice","2023-M05","2023 Mayo",151.18,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M05","2023 Mayo",10.3,,
"IX","Índice","2023-M06","2023 Junio",152.2,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M06","2023 Junio",10.2,,
"IX","Índice","2023-M07","2023 Julio",152.79,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M07","2023 Julio",9.4,,
"IX","Índice","2023-M08","2023 Agosto",152.63,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M08","2023 Agosto",8,,
"IX","Índice","2023-M09","2023 Septiembre",154.42,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M09","2023 Septiembre",8.9,,
"IX","Índice","2023-M10","2023 Octubre",154.84,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M10","2023 Octubre",8.7,,
"IX","Índice","2023-M11","2023 Noviembre",155.08,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M11","2023 Noviembre",8.3,,
"IX","Índice","2023-M12","2023 Diciembre",156.32,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M12","2023 Diciembre",7.7,,
"IX","Índice","2024-M01","2024 Enero",157.99,"p","Provisional"
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2024-M01","2024 Enero",6.5,"p","Provisional"
