"";"serie";"fecha";"año";"mes";"valor";"fecha_scraping"
"112";"Inversión extranjera directa (pasivos)";"2012-4-1";2012;4;2160,07527650477;2024-07-10
"113";"Inversión extranjera directa (pasivos)";"2012-5-1";2012;5;2117,04637802815;2024-07-10
"114";"Inversión extranjera directa (pasivos)";"2012-6-1";2012;6;3897,53982773139;2024-07-10
"115";"Inversión extranjera directa (pasivos)";"2012-7-1";2012;7;1603,14642314922;2024-07-10
"116";"Inversión extranjera directa (pasivos)";"2012-8-1";2012;8;2153,89889221171;2024-07-10
"117";"Inversión extranjera directa (pasivos)";"2012-9-1";2012;9;3182,7002082999;2024-07-10
"118";"Inversión extranjera directa (pasivos)";"2012-10-1";2012;10;3573,41013268253;2024-07-10
"119";"Inversión extranjera directa (pasivos)";"2012-11-1";2012;11;3029,26208317094;2024-07-10
"120";"Inversión extranjera directa (pasivos)";"2012-12-1";2012;12;5421,99734128365;2024-07-10
"121";"Inversión extranjera directa (pasivos)";"2013-1-1";2013;1;1278,30988291723;2024-07-10
"122";"Inversión extranjera directa (pasivos)";"2013-2-1";2013;2;1690,8577586068;2024-07-10
"123";"Inversión extranjera directa (pasivos)";"2013-3-1";2013;3;4699,83352187366;2024-07-10
"124";"Inversión extranjera directa (pasivos)";"2013-4-1";2013;4;-3678,24542927235;2024-07-10
"125";"Inversión extranjera directa (pasivos)";"2013-5-1";2013;5;1904,23838217808;2024-07-10
"126";"Inversión extranjera directa (pasivos)";"2013-6-1";2013;6;2274,95491262918;2024-07-10
"127";"Inversión extranjera directa (pasivos)";"2013-7-1";2013;7;3958,35245912281;2024-07-10
"128";"Inversión extranjera directa (pasivos)";"2013-8-1";2013;8;2089,30773865631;2024-07-10
"129";"Inversión extranjera directa (pasivos)";"2013-9-1";2013;9;357,519139576408;2024-07-10
"130";"Inversión extranjera directa (pasivos)";"2013-10-1";2013;10;2656,65588630274;2024-07-10
"131";"Inversión extranjera directa (pasivos)";"2013-11-1";2013;11;1608,00689019747;2024-07-10
"132";"Inversión extranjera directa (pasivos)";"2013-12-1";2013;12;2280,96570122971;2024-07-10
"133";"Inversión extranjera directa (pasivos)";"2014-1-1";2014;1;1477,89188674283;2024-07-10
"134";"Inversión extranjera directa (pasivos)";"2014-2-1";2014;2;2626,88040389602;2024-07-10
"135";"Inversión extranjera directa (pasivos)";"2014-3-1";2014;3;1536,22157209779;2024-07-10
"136";"Inversión extranjera directa (pasivos)";"2014-4-1";2014;4;2329,19304237194;2024-07-10
"137";"Inversión extranjera directa (pasivos)";"2014-5-1";2014;5;307,32338626738;2024-07-10
"138";"Inversión extranjera directa (pasivos)";"2014-6-1";2014;6;1818,87672571806;2024-07-10
"139";"Inversión extranjera directa (pasivos)";"2014-7-1";2014;7;1221,95297223042;2024-07-10
"140";"Inversión extranjera directa (pasivos)";"2014-8-1";2014;8;1564,64691547474;2024-07-10
"141";"Inversión extranjera directa (pasivos)";"2014-9-1";2014;9;4704,15789205326;2024-07-10
"142";"Inversión extranjera directa (pasivos)";"2014-10-1";2014;10;3045,27928693566;2024-07-10
"143";"Inversión extranjera directa (pasivos)";"2014-11-1";2014;11;3375,00031847933;2024-07-10
"144";"Inversión extranjera directa (pasivos)";"2014-12-1";2014;12;1520,40744668716;2024-07-10
"145";"Inversión extranjera directa (pasivos)";"2015-1-1";2015;1;506,425802441622;2024-07-10
"146";"Inversión extranjera directa (pasivos)";"2015-2-1";2015;2;589,266493738173;2024-07-10
"147";"Inversión extranjera directa (pasivos)";"2015-3-1";2015;3;1217,72437715568;2024-07-10
"148";"Inversión extranjera directa (pasivos)";"2015-4-1";2015;4;290,090557755435;2024-07-10
"149";"Inversión extranjera directa (pasivos)";"2015-5-1";2015;5;1273,50314718728;2024-07-10
"150";"Inversión extranjera directa (pasivos)";"2015-6-1";2015;6;1587,9376439624;2024-07-10
"151";"Inversión extranjera directa (pasivos)";"2015-7-1";2015;7;-288,180364104613;2024-07-10
"152";"Inversión extranjera directa (pasivos)";"2015-8-1";2015;8;579,541726052094;2024-07-10
"153";"Inversión extranjera directa (pasivos)";"2015-9-1";2015;9;9504,31822704359;2024-07-10
"154";"Inversión extranjera directa (pasivos)";"2015-10-1";2015;10;1155,84795676927;2024-07-10
"155";"Inversión extranjera directa (pasivos)";"2015-11-1";2015;11;1179,09816044231;2024-07-10
"156";"Inversión extranjera directa (pasivos)";"2015-12-1";2015;12;170,711900649386;2024-07-10
"157";"Inversión extranjera directa (pasivos)";"2016-1-1";2016;1;1545,99860622748;2024-07-10
"158";"Inversión extranjera directa (pasivos)";"2016-2-1";2016;2;857,029450084958;2024-07-10
"159";"Inversión extranjera directa (pasivos)";"2016-3-1";2016;3;1596,74690922142;2024-07-10
"160";"Inversión extranjera directa (pasivos)";"2016-4-1";2016;4;917,743326455926;2024-07-10
"161";"Inversión extranjera directa (pasivos)";"2016-5-1";2016;5;942,51088917217;2024-07-10
"162";"Inversión extranjera directa (pasivos)";"2016-6-1";2016;6;959,958049888189;2024-07-10
"163";"Inversión extranjera directa (pasivos)";"2016-7-1";2016;7;994,141080504938;2024-07-10
"164";"Inversión extranjera directa (pasivos)";"2016-8-1";2016;8;1033,78126615616;2024-07-10
"165";"Inversión extranjera directa (pasivos)";"2016-9-1";2016;9;845,008667977733;2024-07-10
"166";"Inversión extranjera directa (pasivos)";"2016-10-1";2016;10;1128,65189354208;2024-07-10
"167";"Inversión extranjera directa (pasivos)";"2016-11-1";2016;11;484,27345035788;2024-07-10
"168";"Inversión extranjera directa (pasivos)";"2016-12-1";2016;12;56,988572900221;2024-07-10
"169";"Inversión extranjera directa (pasivos)";"2017-1-1";2017;1;1250,11525066673;2024-07-10
"170";"Inversión extranjera directa (pasivos)";"2017-2-1";2017;2;1127,08836621286;2024-07-10
"171";"Inversión extranjera directa (pasivos)";"2017-3-1";2017;3;-123,750273803921;2024-07-10
"172";"Inversión extranjera directa (pasivos)";"2017-4-1";2017;4;-1248,91757839915;2024-07-10
"173";"Inversión extranjera directa (pasivos)";"2017-5-1";2017;5;668,345299151577;2024-07-10
"174";"Inversión extranjera directa (pasivos)";"2017-6-1";2017;6;-154,901169768114;2024-07-10
"175";"Inversión extranjera directa (pasivos)";"2017-7-1";2017;7;608,031958138454;2024-07-10
"176";"Inversión extranjera directa (pasivos)";"2017-8-1";2017;8;1004,18295912584;2024-07-10
"177";"Inversión extranjera directa (pasivos)";"2017-9-1";2017;9;390,321907777516;2024-07-10
"178";"Inversión extranjera directa (pasivos)";"2017-10-1";2017;10;1354,81865489122;2024-07-10
"179";"Inversión extranjera directa (pasivos)";"2017-11-1";2017;11;501,629420281323;2024-07-10
"180";"Inversión extranjera directa (pasivos)";"2017-12-1";2017;12;-139,781276061835;2024-07-10
"181";"Inversión extranjera directa (pasivos)";"2018-1-1";2018;1;4301,66839023238;2024-07-10
"182";"Inversión extranjera directa (pasivos)";"2018-2-1";2018;2;385,413135086763;2024-07-10
"183";"Inversión extranjera directa (pasivos)";"2018-3-1";2018;3;1485,47480212801;2024-07-10
"184";"Inversión extranjera directa (pasivos)";"2018-4-1";2018;4;1645,20881416869;2024-07-10
"185";"Inversión extranjera directa (pasivos)";"2018-5-1";2018;5;677,305702651135;2024-07-10
"186";"Inversión extranjera directa (pasivos)";"2018-6-1";2018;6;-4048,41394692508;2024-07-10
