"DTI_CL_UNIDAD_MEDIDA","Unidad de medida","DTI_CL_MES","Mes","Value","Flag Codes","Flags"
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M09","2020 Septiembre",0.6,,
"IX","Índice","2020-M10","2020 Octubre",95.82,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M10","2020 Octubre",1,,
"IX","Índice","2020-M11","2020 Noviembre",96.74,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M11","2020 Noviembre",1.8,,
"IX","Índice","2020-M12","2020 Diciembre",96.76,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2020-M12","2020 Diciembre",1,,
"IX","Índice","2021-M01","2021 Enero",97.2,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M01","2021 Enero",1.2,,
"IX","Índice","2021-M02","2021 Febrero",96.79,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M02","2021 Febrero",1.3,,
"IX","Índice","2021-M03","2021 Marzo",97.67,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M03","2021 Marzo",1.4,,
"IX","Índice","2021-M04","2021 Abril",97.4,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M04","2021 Abril",2.4,,
"IX","Índice","2021-M05","2021 Mayo",96.77,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M05","2021 Mayo",1.9,,
"IX","Índice","2021-M06","2021 Junio",97.08,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M06","2021 Junio",2.1,,
"IX","Índice","2021-M07","2021 Julio",97.57,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M07","2021 Julio",1.9,,
"IX","Índice","2021-M08","2021 Agosto",97.29,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M08","2021 Agosto",1.6,,
"IX","Índice","2021-M09","2021 Septiembre",96.5,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M09","2021 Septiembre",0.4,,
"IX","Índice","2021-M10","2021 Octubre",95.76,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M10","2021 Octubre",-0.1,,
"IX","Índice","2021-M11","2021 Noviembre",95.98,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M11","2021 Noviembre",-0.8,,
"IX","Índice","2021-M12","2021 Diciembre",96.47,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2021-M12","2021 Diciembre",-0.3,,
"IX","Índice","2022-M01","2022 Enero",97.07,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M01","2022 Enero",-0.1,,
"IX","Índice","2022-M02","2022 Febrero",96.63,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M02","2022 Febrero",-0.2,,
"IX","Índice","2022-M03","2022 Marzo",95.99,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M03","2022 Marzo",-1.7,,
"IX","Índice","2022-M04","2022 Abril",95.26,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M04","2022 Abril",-2.2,,
"IX","Índice","2022-M05","2022 Mayo",95.15,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M05","2022 Mayo",-1.7,,
"IX","Índice","2022-M06","2022 Junio",94.98,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M06","2022 Junio",-2.2,,
"IX","Índice","2022-M07","2022 Julio",94.79,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M07","2022 Julio",-2.8,,
"IX","Índice","2022-M08","2022 Agosto",94.72,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M08","2022 Agosto",-2.6,,
"IX","Índice","2022-M09","2022 Septiembre",94.25,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M09","2022 Septiembre",-2.3,,
"IX","Índice","2022-M10","2022 Octubre",94.18,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M10","2022 Octubre",-1.6,,
"IX","Índice","2022-M11","2022 Noviembre",93.8,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M11","2022 Noviembre",-2.3,,
"IX","Índice","2022-M12","2022 Diciembre",94.81,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2022-M12","2022 Diciembre",-1.7,,
"IX","Índice","2023-M01","2023 Enero",96.07,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M01","2023 Enero",-1,,
"IX","Índice","2023-M02","2023 Febrero",95.97,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M02","2023 Febrero",-0.7,,
"IX","Índice","2023-M03","2023 Marzo",96.06,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M03","2023 Marzo",0.1,,
"IX","Índice","2023-M04","2023 Abril",96.05,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M04","2023 Abril",0.8,,
"IX","Índice","2023-M05","2023 Mayo",96.54,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M05","2023 Mayo",1.5,,
"IX","Índice","2023-M06","2023 Junio",97.34,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M06","2023 Junio",2.5,,
"IX","Índice","2023-M07","2023 Julio",97.37,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M07","2023 Julio",2.7,,
"IX","Índice","2023-M08","2023 Agosto",97.17,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M08","2023 Agosto",2.6,,
"IX","Índice","2023-M09","2023 Septiembre",97.65,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M09","2023 Septiembre",3.6,,
"IX","Índice","2023-M10","2023 Octubre",97.49,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M10","2023 Octubre",3.5,,
"IX","Índice","2023-M11","2023 Noviembre",96.88,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M11","2023 Noviembre",3.3,,
"IX","Índice","2023-M12","2023 Diciembre",98.21,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2023-M12","2023 Diciembre",3.6,,
"IX","Índice","2024-M01","2024 Enero",98.61,"p","Provisional"
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2024-M01","2024 Enero",2.6,"p","Provisional"
